0 1 29	3	116	2	-1.26801	-inf	10480.7	12424	2
0 1 30	3	91	2	-0.565174	-inf	5721.93	8091.29	2
0 0 32	6	75	2	1.25922	2.23257	221288	146449	2
0 1 32	3	84	2	-8.77155	-inf	71395.2	73426.7	2
0 1 33	3	96.5	2	-0.687515	-inf	15021.3	20247.5	2
0 0 34	9	95	3	1.19342	2.59393	531104	265276	3
0 1 34	2	167.5	1	-inf	-inf	208844	417677	1
0 1 35	3	92.5	2	-0.728325	-inf	31271	41593.7	2
0 1 36	3	87.5	2	-2.16444	-inf	103611	115507	2
0 1 37	3	113.5	2	-8.92896	-inf	161624	166143	2
0 1 38	2	74.5	1	-inf	-inf	223018	445990	1
1 0 39	84	57.5	27	5.56629	19.0607	6265.14	1137.77	5
0 1 39	6	35.5	2	1.96764	2.34943	23590.4	23071.6	2
0 0 40	9	65	2	1.30181	2.02566	195424	97752.4	2
0 0 40	6	34.5	3	1.14243	2.89983	50073.5	25027.3	3
0 0 40	10	71.5	3	1.26943	3.04721	259223	129411	3
0 1 40	3	87	2	-0.653531	-inf	6748.37	9205.93	2
0 0 41	6	47.5	3	1.16277	2.35241	93757.9	46825.5	3
0 0 41	13	93	3	1.39495	2.56706	321841	160798	2
0 0 41	10	74.5	2	1.49098	2.51165	283733	187699	2
0 0 41	8	90	3	1.29832	2.57598	127323	63700.5	2
0 1 41	2	68.5	1	-inf	-inf	543.105	1071.94	1
0 1 42	3	84.5	2	-0.6278	-inf	49312.5	67968.7	2
0 1 43	3	119.5	2	-1.04734	-inf	8460.42	10434.4	2
0 0 44	6	48.5	3	1.31466	3.6501	65859.3	32908.2	3
0 0 44	10	57.5	2	1.46152	2.23103	120697	60391.3	2
0 0 44	7	62.5	3	1.20807	2.23944	183275	91847.6	2
0 0 44	28	112.5	3	1.34822	3.07277	669278	333570	2
0 0 44	7	55	3	1.07745	1.78866	149818	74724.4	3
0 0 44	9	57	2	1.4724	2.70934	88411.9	58439.3	2
0 0 44	9	70	2	1.29375	2.02152	122235	63759.7	2
0 0 44	9	65.5	2	1.41794	2.4855	203622	134883	2
0 0 44	6	47.5	2	1.20394	2.09722	136377	89752.2	2
0 1 44	2	1.31755e+37	184467440686743	-inf	0	576.422	1152.84	1
0 0 45	8	47	3	1.31267	1.90719	90646.5	45528.4	2
0 1 45	2	72.5	1	-inf	-inf	773.11	1527.56	1
1 0 46	13	65	12	2.68836	18.2253	11339.3	5275.92	3
0 0 46	82	73.5	2	1.39485	2.19081	318605	113209	2
0 0 46	6	52.5	2	1.21751	1.999	79085.2	52196.6	2
0 0 46	9	82	3	1.14716	2.65819	408177	269378	2
0 0 46	8	76	2	1.23841	2.10968	339179	224997	2
0 0 46	20	112	3	1.34275	2.57311	582282	290457	2
0 0 46	6	41	2	1.29585	2.58814	39546.6	26199.6	2
0 1 46	12	99	3	1.22114	2.32164	512137	255616	3
0 1 47	2	77.5	1	-inf	-inf	30064.7	60109.5	1
0 0 48	9	80	2	1.29898	1.74871	224667	112427	2
0 0 48	6	54.5	3	1.10735	2.6315	148882	74412.2	3
0 1 48	3	108	2	-1.24984	-inf	8157.22	9765.21	2
0 1 49	3	106	2	-0.894061	-inf	6433.98	8168.13	2
0 0 50	19	103.5	3	1.32719	2.69719	442821	221256	2
0 1 50	14	106.5	3	1.19877	2.18403	820515	409590	3
0 0 51	6	50	2	1.28791	2.07121	64452.6	42491.8	2
0 0 51	60	157	3	1.45066	3.34025	762546	378748	2
0 0 51	12	125	3	1.09779	2.21794	649525	324318	3
0 0 51	11	68.5	3	1.42447	2.99451	159912	79868.9	2
0 0 51	6	48.5	3	1.23299	3.13324	107575	53768.2	3
0 0 51	39	145	3	1.4698	3.97964	849090	514750	2
0 1 51	2	61.5	1	-inf	-inf	91715.3	183427	1
0 0 52	9	81	2	1.17757	1.8955	228050	150479	2
0 0 52	8	51	2	2.23745	3.89797	54296.4	35897.8	2
0 1 52	12	77.5	3	1.238	2.40859	328506	164382	2
0 0 53	35	163	2	1.4583	2.14823	515416	335223	2
0 0 53	6	39.5	2	1.2739	1.56493	47686.3	31522.3	1
